geoid,lon,lat
38420,-90.7062047318014,42.8674795825468
15060,-124.156781615268,42.4576432361606
39420,-117.523036916585,46.9011754735794
33540,-113.923718680345,47.0365215437373
21540,-86.9242486701882,45.9190803074399
38820,-123.927997388455,48.0493223698826
20540,-89.4137724223071,36.0590503929277
31980,-85.6547152482447,40.5157997991506
20660,-76.0971000585997,38.7713460615491
24420,-123.555468497335,42.3654849603545
20340,-97.8514813926593,34.485602736936
23860,-79.3324004994543,33.4342485040873
15180,-97.5179957977006,26.1334564367313
45940,-74.7017515480314,40.2834439595693
28380,-90.0909121801594,36.272107697224
41660,-100.672985035375,31.3637027713918
40940,-109.887397966746,32.9326995747445
23420,-119.649305584347,36.7581963989762
43380,-84.2047478881172,40.3315539573645
29700,-99.331519402209,27.761112698646
13140,-94.0715447569023,30.3037938619872
31180,-101.644700690555,33.4685508382629
29540,-76.2477294465264,40.0424334975204
24580,-88.0765286753788,44.7728972599363
14820,-82.7982507429712,35.2020884376533
12680,-85.4659582519338,37.8051540224759
36020,-122.548070984635,48.1630054263536
14140,-81.3593033500989,37.2507048592666
40700,-123.166460466703,43.2796899081019
41620,-113.010509015831,40.4705859153135
10660,-93.3488218497331,43.6738097972584
36500,-122.833185747828,46.9257720704254
47780,-87.0720404433435,38.7024389302618
12100,-74.6609764504338,39.4777387724696
18220,-85.1787638840913,39.6400290771943
24640,-72.5918300638441,42.5830906261535
38380,-101.826884888415,34.0705049763586
12260,-81.982945666581,33.4610403527784
17460,-81.6838118173814,41.3753645055304
16860,-85.3591476250495,35.0519776634655
16980,-87.9627197646319,41.7026567971468
18780,-108.207432359037,40.6183852214389
18880,-86.3656566674343,30.665732932575
45900,-85.5518968196608,44.72508984469
17780,-96.4889242626167,30.7565165771106
23240,-98.9465727319289,30.3180420171742
11820,-123.65583566715,45.9951019828326
14260,-116.143209054486,43.0160516076705
11660,-93.1763662660249,34.0509781778725
32780,-122.728519135567,42.4321229761738
41700,-98.6022548412379,29.4287339786959
46220,-87.7218441416667,33.1680669301124
43620,-96.9900434309383,43.4996920866977
15660,-84.87570171224,34.5033567400189
12660,-89.948224354164,43.4266673174515
38300,-79.830955069118,40.4390280796095
40220,-79.9469199356162,37.2861469533745
13980,-80.5329730113257,37.1206313258163
32700,-97.648027567579,38.3916554997351
38920,-96.6020082544106,28.5066569916841
48660,-98.4914081224032,33.7746863589657
24700,-85.5011090763022,39.3070014743912
22840,-85.8041092143463,34.4597996021558
12060,-84.3996033381873,33.6928033072212
26820,-112.427828489799,43.622479393665
19660,-81.2196892024123,29.1740433665476
32380,-93.2608300529099,43.2035695880209
15540,-73.030778560238,44.6872019754747
49180,-80.3458106366031,36.0766342802338
26580,-82.3791218498331,38.3813844557097
16740,-80.8670606614659,35.1887669319955
16500,-122.392670559349,46.577773460933
12580,-76.5806004863647,39.3384790273244
30780,-92.3971632056938,34.7572135217619
45060,-76.033560905227,43.1544698511924
45500,-94.2137445321588,33.473606874806
34700,-91.1126932967794,41.4839227027064
31740,-96.5069656532315,39.3444338814194
47080,-82.4121571392637,32.1422023076625
31260,-94.6118541801901,31.2547725334861
11700,-82.6826673635285,35.6006473102348
40900,-120.997546476478,38.780477179143
16620,-81.4915007707852,38.2718102237059
37580,-95.571196907765,33.6672503425184
18740,-81.9200222468296,40.3016675889773
24220,-96.8444788252081,47.8359650175362
16380,-84.6293724310173,40.5399471215675
49740,-113.905585748766,32.7694251764778
38060,-112.07047721921,33.1857042613528
40660,-85.2142565180099,34.26319154282
40180,-108.630458754143,43.0405425859929
45780,-83.7822954408654,41.4983360455967
10300,-84.0663865482781,41.8951222986529
27540,-87.0346333101465,38.3794404486418
41900,-67.0619194554433,18.0567893984421
20300,-101.89298714258,35.837714548863
22220,-94.1215708425138,36.1961758773146
25980,-81.6019211487194,31.795827850778
10780,-92.5418432328191,31.3305547821104
24900,-90.1064073180771,33.4984059760815
28140,-94.4443827814725,38.9371888827943
26740,-98.0859831169707,37.9529513374923
21020,-76.3119898535333,36.2956741664902
44860,-95.563949902989,33.1495585610312
30220,-102.343189118929,33.6076298323377
14500,-105.357719442822,40.0924883745227
41860,-122.167202816277,37.7809853174523
21460,-85.9881546234012,31.4026464086015
43460,-89.5685220779078,37.0530421299106
11580,-81.809413399573,27.1863570894602
48220,-99.0014954139332,35.6388855720949
13500,-79.6786202540072,34.6019853286839
33980,-76.6588797538159,34.8357310435992
12460,-84.5790508711049,30.8783429092579
38100,-89.5896547341669,30.768713371931
47340,-85.7939914142058,40.8456530550586
17380,-90.880361259657,33.795581814653
40080,-84.2938492530748,37.5721220625739
29200,-86.9295554984882,40.5143219630256
43500,-108.382410606529,32.7389166258607
26620,-86.7346684709524,34.783198850824
26540,-85.4881307450019,40.8292194566336
26140,-82.4793959632361,28.848907745888
38840,-83.1408464469727,41.5381035050229
44100,-89.6969050270039,39.8296059594045
46980,-90.8786854653678,32.1860002167617
13620,-71.4215729466481,44.6999143293312
38660,-66.6838382866624,18.0585090925603
47240,-70.650087615522,41.3960846898846
28780,-97.7112237849484,27.1161518246841
39540,-88.0610883183198,42.7474864273877
38460,-73.6781638378136,44.7461799714436
16580,-88.2945449304509,40.2266904446156
32180,-93.2018448719343,39.136847165206
17140,-84.4274815706864,39.0715252877998
41540,-75.4691368969185,38.4164149438312
22780,-92.2076384058071,37.8245807838401
22620,-90.747748375,35.0220145199528
45540,-82.080966241645,28.7047467406655
11100,-101.90954867813,35.2488636795937
36620,-117.588488951287,43.2260885494245
15580,-112.656730911228,45.9024016271851
33620,-92.497082377878,39.4401331172761
30620,-84.1057917750693,40.7715398047912
16060,-89.1902572503121,37.7618528040783
29860,-89.1441726734053,31.8180800941926
10460,-105.741462254136,32.6131946501576
42460,-85.9993547609021,34.779452447544
43060,-96.9483368295054,35.2066997809921
31680,-92.9459409692383,34.3176291510995
36660,-92.005859250313,30.5988473256381
15820,-85.3279362298571,37.3664678929464
22380,-111.770500188875,35.8387402697571
40380,-77.5078968309784,42.9659274411163
34860,-94.615858746995,31.6159830321377
37860,-87.15617815988,30.6880318440569
